dcontributor,dsubjecs,dtitle,Year
陈淦,孙慕韩;李毓棻;电报局;荣禄;西安;郭春榆;陈梦陶,盛宣怀致陈淦函,1900-1904
陈淦,中国通商银行;奎俊;汇兑;荣禄,盛宣怀致陈淦函,1900-1904
陈淦,中国通商银行;保定;捐赈,盛宣怀致陈淦函,1900-1904
陈淦,中国通商银行;四川;奎俊;慈善事业;经费;顺天府,盛宣怀致陈淦函,1900-1904
美德伦;陈淦,中国通商银行;冯厚光;梁景和;电报局;轮船招商局,盛宣怀致陈淦、美德伦函,1900-1904
陈淦,东南济急会;中国通商银行;冯商盘;北京;汇丰银行;道胜银行;钱荫堂;顺直赈捐济急总局,盛宣怀致陈淦函,1900-1904
陈淦,中国通商银行;冯商盘;存储;李鸿章;荣禄,盛宣怀致陈淦函,1900-1904
陈淦,中国通商银行;天津;天津铁路分局;王文端;陈守淑,盛宣怀致陈淦函,1900-1904
美德伦;陈淦,中国通商银行;存储;户部;武卫军,盛宣怀致陈淦、美德伦函,1900-1904
陈淦,中国通商银行;周馥;山东海防捐输分局,盛宣怀致陈淦函,1900-1904
陈淦,中国通商银行;天津铁路分局;陈守淑,盛宣怀致陈淦函,1900-1904
陈淦,中国通商银行;存储;孙慕韩;安徽支应局;尹昌龄;荣禄,盛宣怀致陈淦函,1900-1904
村田俊彦,日本兴业银行,盛宣怀复村田俊彦函,1900-1904
王之杰,山西;捐赈;推广捐衔续减章程;章程;赈济;陕西,盛宣怀复王之杰函,1900-1904
张振棨,山西;捐官;捐赈;江苏;陕西,盛宣怀复张振棨函,1900-1904
严信厚等;任锡汾;张振棨,严作霖;中部县;宜君县;山西;洛川县;潘振声;秦晋振捐局;财务;赈济;陕西,盛宣怀致任锡汾、张振棨、严信厚等函,1900-1904
徐道焜,上海;上海协赈公所;募捐;吉安府;水灾;江西;赈济;赣州府,盛宣怀复徐道焜函,1900-1904
沈家本,工程;正太铁路;谋职,盛宣怀致沈家本函,1900-1904
惠纶,捐输;梧州关;红十字会,[吕海寰、盛宣怀]致惠纶函,1900-1904
诚勲,合盛元;捐赈;汇兑;番银;红十字会,吕海寰、盛宣怀、吴重熹致诚勲函,1900-1904
恒启,捐赈;日昇昌;汇兑;淮安关;票号;红十字会,吕海寰、盛宣怀、？新怡致恒启函,1900-1904
孙宝琦,捐赈;汇兑;源丰润;章程;红十字会,吕海寰、盛宣怀、吴重喜致孙宝琦函,1900-1904
诚勲,慈善事业;日俄战争;红十字会;轮船招商局;难民,吕海寰、盛宣怀、吴重喜致诚勲函,1900-1904
黄少春,任凤苞;商部;外务部;捐赈;毛庆蕃;红十字会;经费,吕海寰、盛宣怀致黄少春函,1900-1904
周馥,司肯多福;红十字会;翻译;薪俸;许正寿,吕海寰、盛宣怀、吴重熹致周馥函,1900-1904
吴庆坻,外务部;张德彝;捐赈;汇兑;经费;轮船,吕海寰、盛宣怀、吴重熹致吴庆坻函,1900-1904
唐景崇,捐赈;永泰恒;汇兑,吕海寰、盛宣怀、吴重熹致唐景崇函,1900-1904
商部;外务部,上海丝业会馆;俄国;公使;医院;捐赈;日俄战争;日本;红十字会;营口厅;难民,吕海寰、盛宣怀、吴重熹致外务部、商部函,1900-1904
孙钟祥;陶湘,上海;公用事业;天津府;洋行;荣华洋行;运输,盛宣怀致孙钟祥、陶湘函,1900-1904
孙钟祥;陶湘,公用事业;商部;外务部;技师;杨文骏;洋行;火车;荣华洋行;谭纳思,盛宣怀致孙钟祥、陶湘函,1900-1904
孙钟祥;陶湘,公用事业;机器;洋行;荣华洋行;薪俸;运输,盛宣怀致孙钟祥、陶湘函,1900-1904
岳樑,公用事业;吏部;大理寺;孙钟祥;技师;机器;洋行;荣华洋行;谭纳思;运输;陶湘,盛宣怀致岳樑函,1900-1904
张赞宸,三井洋行;公司;合同;小田切万寿之助;日本;日本制铁所;汉冶萍公司;洋行;赖伦;钢铁;销售,盛宣怀致张赞宸函,1900-1904
盛春颐,公司;军需;工厂;汉冶萍公司;汉阳铁厂;煤;英国;财务;郑观应;采办,盛宣怀致盛春颐函,1900-1904
李维格,汉冶萍公司;盛春颐;轮船招商局,盛宣怀致李维格函（7）,1900-1904
任锡汾;李宗琎,商部;孔繁洁;孙多褀;捐输;王同文;电报局;韩寿椿,盛宣怀等复任锡汾、李宗琎函,1900-1904
杨廷皋,捐赈;盛昌颐,盛宣怀致杨廷皋函,1900-1904
严潆;唐德熙;陈猷,军需;刘坤一;利运轮;张之洞;沈能虎;爱仁轮;轮船招商局;运输,盛宣怀致严潆、陈猷、唐德熙函,1900-1904
陈猷,利息;财务;轮船招商局;香港,盛宣怀致陈猷函,1900-1904
唐德熙;郑官应;陈猷,信义洋行;外籍工师;旗昌洋行;李德;洋行;船只;轮船招商局,盛宣怀致郑官应、唐德熙、陈猷函,1900-1904
沈能虎;郑官应,外籍工师;李鸿章;水师;泰安轮;练船;船只;轮船招商局,盛宣怀致沈能虎、郑官应函,1900-1904
沈能虎;郑观应,周子瑜;土地;徐润;房地产;租界;购置;轮船招商局,盛宣怀致沈能虎、郑观应函,1900-1904
巢凤宜,土地;汇丰银行;财务,盛宣怀致巢凤宜函,1900-1904
怡和洋行,中国铁路总公司;伦敦;借贷;公司;怡和洋行;洋行;章程,盛宣怀致怡和洋行函,1900-1904
陈善言,中国铁路总公司;俄华道胜银行;公司;户部;捐赈;汇丰银行;陕西,盛宣怀致陈善言函,1900-1904
裴式楷,中国通商银行;财政;铸币,盛宣怀致裴式楷函,1900-1904
俄;日三国总领事;英,义和团运动;八国联军侵华战争;刘坤一;周长龄;外国驻军;天津府;密尔登;小田切万寿之助（日） (Bron Brenan)壁利南（英） (P.A.Dmitorevsky)德密特（俄） 粮食;张之洞;李鸿章;灾害;直隶;赈济;轮船招商局;运输;领事,盛宣怀致英、俄、日三国总领事函,1900-1904
丁家立,上海;严粜;八国联军侵华战争;刘坤一;周长龄;外国驻军;天津府;密尔登;小田切万寿之助（日）;张之洞;旱灾;李鸿章;直隶;粮食;赈济;轮船招商局;领事,盛宣怀致丁家立函,1900-1904
黄建笎,上海;任官;吕海寰;恩寿;李有棻;淮安府;王仁东;礼仪;通商条约;通州直隶州;魏光焘,盛宣怀致黄建笎函,1900-1904
陈笙郊,东南济急会;中国通商银行;京师;何福堃;大德恒票号;捐赈;汇兑;甘肃;财务;银行,盛宣怀致陈笙郊函,1900-1904
小田切万寿之助,修建;大冶铁矿;宗得福;房屋;租借;西泽公雄,盛宣怀復小田切万寿之助函,1900-1904
小田切万寿之助,合同;外籍工师;大冶铁矿;宗得福;工厂;建筑;房屋;汉阳铁厂;矿务;西泽公雄,盛宣怀致小田切万寿之助函,1900-1904
李维格等;盛春颐,冯熙光;卜聶;外籍工师;工厂;汉阳铁厂;沙多;矿务;葛乐士;财务;采办;钢轨,盛宣怀致盛春颐、李维格等函,1900-1904
李维格等;盛春颐,化验;卜聶;卢培;合同;外籍工师 ;大冶铁矿;工厂;日本;汉阳铁厂;钢轨,盛宣怀致盛春颐、李维格等函,1900-1904
李维格等;盛春颐,公司;大冶铁矿;定造;工厂;汉冶萍公司;汉阳铁厂;沙多;钢轨,盛宣怀致盛春颐、李维格等函,1900-1904
盛春颐等,冶炼;卜聶;吕柏;开平煤矿;张赞宸;煤焦;矿务;萍乡煤矿;赖伦;运输;销售,盛宣怀致盛春颐等函（1号）,1900-1904
盛春颐等,上海;中国铁路总公司;卜聶;杂支费用;柯鸿年;汉阳铁厂;沙多;葛乐士;钢轨,盛宣怀致盛春颐等函（2号）,1900-1904
盛春颐等,卢培;外籍工师;大冶铁矿;日本;汉阳铁厂;矿务;解茂承;钢;铁,盛宣怀致盛春颐等函（3号）,1900-1904
盛春颐等,价格;借贷;大冶铁矿;汉冶萍公司;沙多;矿产;解茂承;财务;钢轨,盛宣怀致盛春颐等函,1900-1904
盛春颐等,汉冶萍公司;炉砖;礼和洋行;船只;谛塞厂（英国）;轮船招商局;运输;郑官应;郭格里厂（比利时）,盛宣怀致盛春颐等函（5号）,1900-1904
盛春颐等,张之洞;汉冶萍公司;汉阳铁厂;矿务;财务,盛宣怀致盛春颐等函（7号）,1900-1904
李维格;盛春颐,三井洋行;俄罗斯;卢汉铁路;汉冶萍公司;汉口;汉阳铁厂;沙多;船只;葛乐士;财务;轮船招商局;运输;陈猷,盛宣怀致盛春颐、李维格函（8号）,1900-1904
盛春颐,公顺典;利息;汉冶萍公司;财务,盛宣怀致盛春颐函,1900-1904
盛春颐等,中国铁路总公司;横滨正金银行;物价;财务;铁,盛宣怀致盛春颐等函（9号）,1900-1904
李维格;盛春颐,中国通商银行;中国铁路总公司;施肇英;日本制铁所;汉冶萍公司;盛春颐,盛宣怀致盛春颐、李维格函（10号）,1900-1904
李维格;盛春颐,卜聶;抵押;比利时;汉冶萍公司;葛乐士;郭克利厂;铁;销售,盛宣怀致盛春颐、李维格函（11号）,1900-1904
李维格;盛春颐,三井洋行;卜聶;合同;机器;汉冶萍公司;煤;物价;运输;铁;铁路局;销售,盛宣怀致盛春颐、李维格函（12号）,1900-1904
李维格;盛春颐,外籍工师;机器;汉冶萍公司;礼和洋行;葛乐士;财务,盛宣怀致盛春颐、李维格函（13号）,1900-1904
李维格;盛春颐,修建;斐礼;机器;汉冶萍公司;船只;解茂承,盛宣怀致盛春颐、李维格函（14号）,1900-1904
李维格;盛春颐,中国铁路总公司;华俄道胜银行;抵押;朱开甲;汉冶萍公司;法兰西银行;财务;铁,盛宣怀致盛春颐、李维格函（15号）,1900-1904
李维格;盛春颐,内河航道;张赞宸;萍乡煤矿,盛宣怀致盛春颐、李维格函（16号）,1900-1904
李维格;盛春颐,借贷;汉冶萍公司;汉阳铁厂;炭砖;财务;销售,盛宣怀致盛春颐、李维格函（17号）,1900-1904
李维格;盛春颐,冯熙光;汉冶萍公司;汉阳铁厂;火灾,盛宣怀致盛春颐、李维格函（18号）,1900-1904
李维格;盛春颐,卜聶;合同;新嘉坡;日本;船只;薪俸;轮船招商局;运输;郑官应;钢轨;铁;销售,盛宣怀致盛春颐、李维格函（19号）,1900-1904
李维格;盛春颐,三井洋行;合同;日本制铁所;汉冶萍公司;铁;销售,盛宣怀致盛春颐、李维格函（20号）,1900-1904
李维格;盛春颐,东肥洋行;张赞宸;杨家渡栈房;煤焦;萍乡煤矿;轮船招商局;运输;郑官应;采购,盛宣怀致盛春颐、李维格函（21号）,1900-1904
盛春颐,中国通商银行;李维格;武昌;汉冶萍公司;电报局;矿务;芦汉铁路;钢轨;销售,盛宣怀致盛春颐函,1900-1904
？,卜聶;彭脱;李维格;汉冶萍公司;盛春颐;矿务;赖伦;运输,盛宣怀致？函,1900-1904
小田切万寿之助,外籍工师;大板铁厂;日本;日本制铁所;汉冶萍公司;赖伦;长崎船厂,盛宣怀致小田切万寿之助函,1900-1904
小田切万寿之助,借贷;宣城煤矿;报刊;汉冶萍公司,盛宣怀致小田切万寿之助函,1900-1904
巨籁达,条约;法国;税务;领事,盛宣怀致巨籁达函,1900-1904
古纳,上海;台惟生;哲士;奉天;安东;社交;美国;领事,盛宣怀复古纳函,1900-1904
小田切万寿之助,中日合办;合同;安徽商务局;宣城煤矿;矿务;诚勳,盛宣怀复小田切万寿之助函,1900-1904
张赞宸,工匠;汉阳铁厂;电灯;钢;铁;集成纱厂,盛宣怀致张赞宸函,1900-1904
黄建笎,上海;信义洋行;德国;机器;李德;江南制造局;湖北;萍乡县;采办;铜元机厂,盛宣怀致黄建笎函,1900-1904
锡良,勘察;化学;合同;外务部;外籍工师;奎俊;布鲁特;矿产;罗来禄,盛宣怀致锡良函,1900-1904
[博利]（P.Von Buri）,中国勘矿总公司;信义洋行;合同;湖北;竹山县;袁树;财务;采掘;高瀅,盛宣怀致[博利]（P.Von Buri）函,1900-1904
端方,勘察;合同;湖北;竹山县;袁树;铜矿;领事;高瀅,盛宣怀致端方函,1900-1904
端方,勘察;升允;史悠政;合同;嘉沙利;布卢特;湖北;矿务;礼和洋行;租借;竹山县,盛宣怀致端方函,1900-1904
端方,中国勘矿总公司;勘察;升允;史悠政;合同;礼和洋行;竹山县;袁树;铜矿,盛宣怀致端方函,1900-1904
端方,土地买卖;工程师;布卢特;矿务;竹山县;铜矿,盛宣怀致端方函,1900-1904
锡良,中国勘矿总公司;勘察;周献琛;四川;奎俊;巫山;布卢特;矿务;竹山;铜矿,盛宣怀致锡良函,1900-1904
张德彝,仪器;布卢特;测绘;疾病;矿务;采办;马格里,盛宣怀致张德彝函,1900-1904
锡良,中国勘矿总公司;勘察;化验;四川;外籍工师;布卢特;矿务;端方;邹兆夔,盛宣怀致锡良函,1900-1904
张德彝,仪器;外籍工师;布卢特;汉冶萍公司;测绘;矿务;采办;马格里,盛宣怀致张德彝函,1900-1904
周献琛;黄祖徽,勘察;史悠政;布卢特;疾病;矿务;端方;竹山;锡良,盛宣怀致黄祖徽、周献琛函,1900-1904
小田切万寿之助,合同;汉冶萍公司;矿务;薪俸;领事,盛宣怀致小田切万寿之助函,1900-1904
袁树勋,太平洋公司;徐兆熊;徐庆沅;护照;李维格;欧洲;汉冶萍公司;汉阳铁厂;美国;考察;领事,盛宣怀致袁树勋函,1900-1904
梁诚,太平洋公司;徐兆熊;徐庆沅;护照;李维格;欧洲;汉冶萍公司;美国;考察;采办;领事,盛宣怀致梁诚函,1900-1904
徐润,会见;汉冶萍公司;萍乡县;视察;长沙府,盛宣怀致徐润函,1900-1904
张赞宸,人事;汉冶萍公司;矿务;视察,盛宣怀致张赞宸函,1900-1904
袁树勋,关税;存票;戴东尔;海关;米;贺壁理;通商条约;马凯,盛宣怀致袁树勋函,1900-1904
施肇英,华盛新公司;宜昌;棉纱;棉花;汉口;药材;重庆,盛宣怀致施肇英函,1900-1904
小田切,三井洋行;华盛纺织厂;又新公司;合同;盛宙怀;盛我京,盛宣怀复小田切函,1900-1904
孙钟祥,卢汉铁路;外籍工师;电灯;荣华洋行,盛宣怀复孙钟祥函,1900-1904
袁树勋,严作霖;严信厚;周馥;山东;捐赈;端方,盛宣怀致袁树勋函,1900-1904
严信厚;杨廷杲,山东;施则敬;汇兑;潘民表;赈济,盛宣怀复严信厚、杨廷杲函,1900-1904
吴重憙,山东;捐赈;水灾;潘民表;电报局,盛宣怀复吴重憙函,1900-1904
吕海寰;吴重憙,严作霖;募捐;山东;赈济,盛宣怀致吕海寰、吴重憙函,1900-1904
载振,南洋公学;商业;学堂;学生;教育;高等商务学堂;高等小学堂,盛宣怀致载振函,1900-1904
载振,北洋大学;商务;学堂;学生;教育;日本;法国;王宠惠;章程;美国;袁世凯;银行;陈锦涛;高等商业学校,盛宣怀致载振函,1900-1904
伍秋庸;陈玉莹,南洋公学;商务;学堂;学生;教育;日本;柯爱克;瑞士;章程;美国;贸易;高等商务学堂,盛宣怀致伍秋庸、陈玉莹函,1900-1904
张治秋;荣华卿,何眉孙;南洋公学;商务;学生;留学;章程;美国;英国;高等商务学堂,盛宣怀致张治秋、荣华卿函,1900-1904
钱念劬,南洋公学;学生;日本;日本外务省;章宗祥;经费;薪俸,盛宣怀致钱念劬函,1900-1904
严信厚,何植园;学堂;房屋;李平书;飞虹书院,[盛宣怀]致严信厚函,1900-1904
稻村新六,南洋公学译书院;图书;翻译,盛宣怀致稻村新六函,1900-1904
张亨嘉,北洋大学堂;南洋公学;岑春煊;张美翊;教育;日本;浙江;留学生;章宗祥;美国;铁路;陈锦涛,盛宣怀致张亨嘉函,1900-1904
任道镕,南洋公学;孙仲玙;学堂;教育;杨雪渔;求是书院;汤寿潜;蔡鹤庼;西安电报局;郎宝瑄,盛宣怀致任道镕函,1900-1904
杨士琦,南洋公学;商部;学堂;教育;武进县;溪南学堂;章宗宪;经费;赵晋祺,盛宣怀致杨士琦函,1900-1904
俄;日总领事;英,义和团;唐沽招商局;天津府;灾害;粮食;紫竹林招商局;赈济;轮船招商局,[盛宣怀]致俄、英、日总领事函,1900-1904
周浩,义和团;保定府;天津府,盛宣怀致周浩函,1900-1904
荣禄,义和团;俄国;军事;外交;法国;赫德,盛宣怀致荣禄函,1900-1904
王文韶,义和团;枪;烟台;聂士成;赫德;轮船,盛宣怀致王文韶函,1900-1904
朱志尧,合同;火车;电灯;荣华洋行;轮船,盛宣怀致朱志尧函,1900-1904
近藤廉平,日本邮船会社;社交;轮船招商局,[盛宣怀]复近藤廉平函,1900-1904
张赞宸,外籍工师;密尔登;成林臣;朱念慈;烟台丝局;薪俸;郑官应,盛宣怀致张赞宸函,1900-1904
刘安生;王松森,李恭;漕务;薪俸;谋职;轮船招商局,盛宣怀致王松森、刘安生函,1900-1904
刘安生;王松森,水脚;江苏;浙江;漕务;轮船招商局;运费,盛宣怀致王松森、刘安生函,1900-1904
[？守溪][张寿臣],土地;外交;天津;轮船招商局,盛宣怀致[？守溪][张寿臣]函,1900-1904
周长龄;？守溪,天津;房地产;袁世凯;轮船招商局,盛宣怀致？守溪、周长龄函,1900-1904
施肇英,湖北;矿务;股票;轮船招商局,盛宣怀致施肇英函,1900-1904
贺璧理,关税;棉花;税务司;纱;纺织,盛宣怀致贺璧理函,1900-1904
解茂承,楊学沂;汉冶萍公司;船只;西泽公雄;运输,盛宣怀致解茂承函,1900-1904
解茂承,人事;博德;工程师;楊学沂;汉冶萍公司;物价;矿产;矿务;西泽公雄;赖倫;银行,盛宣怀致解茂承函,1900-1904
宗得福,中村雄次郎;修建;合同;小田切万寿之助;房屋;汉冶萍公司;矿产;矿务;租借;西泽公雄;采办,盛宣怀致宗得福函,1900-1904
宗得福,制造;合同;大冶铁矿;小田切万寿之助;房屋;日本;日本制铁所;西泽公雄;财务;领事,盛宣怀致宗得福函,1900-1904
宗得福,土地;大冶铁矿;荘元徵,盛宣怀致宗得福函,1900-1904
盛春颐,余堯衢;股票;裕敏堂,盛宣怀致盛春颐函,1900-1904
盛春颐,威林臣;札文;河道;测量;疾病,盛宣怀致盛春颐函,1900-1904
盛宣怀,成本;煤;物价;章程;萍乡煤矿;鲁培,盛宣怀致盛宣怀函,1900-1904
解茂承,人事;合同;小田切万寿之助;斐礼;汉冶萍公司;矿务;赖倫,盛宣怀致解茂承函,1900-1904
解茂承,小田切万寿之助;汉冶萍公司;章程;船只;运输,盛宣怀致解茂承函,1900-1904
解茂承,卢汉铁路;屠庆溥;汉冶萍公司;物价;钢轨;销售,盛宣怀致解茂承函,1900-1904
解茂承,冶炼;卢培;合同;汉冶萍公司;物价;矿产;铁,盛宣怀致解茂承函,1900-1904
解茂承,斐礼;汉冶萍公司;物价;盛守覆;船只;运输;钢轨,盛宣怀致解茂承函,1900-1904
解茂承,中外合资;合同;宣城煤矿;小田切万寿之助;工费;張之洞;汉冶萍公司,盛宣怀致解茂承函,1900-1904
解茂承,汉冶萍公司;火车;矿产;矿务;西泽公雄;钢;铁;销售,盛宣怀致解茂承函,1900-1904
解茂承,人事;博德;合同;工程;楊学沂;汉冶萍公司;西泽公雄;赖倫,盛宣怀致解茂承函,1900-1904
解茂承,博德;汉冶萍公司;矿产;矿苗;赖倫;采掘,盛宣怀致解茂承函（2）,1900-1904
解茂承,加班;汉冶萍公司;笔墨,盛宣怀致解茂承函（3）,1900-1904
解茂承,土地买卖;工程师;工费;汉冶萍公司;矿务;铁,盛宣怀致解茂承函（4）,1900-1904
解茂承,信函;制造;博德;地图;开工;斐礼;桥梁;汉冶萍公司;物价;电报;矿务;薪俸;铁路;锰矿,盛宣怀致解茂承函（5）,1900-1904
解茂承,大冶铁矿;招商;汉冶萍公司;煤;股票;采掘,盛宣怀致解茂承函（6）,1900-1904
解茂承,合同;小田切万寿之助;工费;汉冶萍公司;矿产;矿务;赖倫;铁矿;锰矿,盛宣怀致解茂承函（7）,1900-1904
解茂承,化验;合同;小田切万寿之助;工程师;汉冶萍公司;矿务;采掘;铁矿,盛宣怀致解茂承函（8）,1900-1904
解茂承,博德 ;汉冶萍公司;火车;物价;矿务;西泽公雄;运输;采掘;钢;铁;销售,盛宣怀致解茂承函（9）,1900-1904
解茂承,博德;合同;工程;杨学沂;汉冶萍公司;矿务;西泽公雄;财务;赖倫,盛宣怀致解茂承函（10）,1900-1904
解茂承,大冶铁矿;横滨正金银行;汉冶萍公司;物价;财务;运输;采办,盛宣怀致解茂承函（11）,1900-1904
解茂承,借贷;大冶铁矿;小田切万寿之助;張之洞;房屋;汉冶萍公司;矿产;船只;西泽公雄;运输;采办;铁;销售;领事,盛宣怀致解茂承函,1900-1904
解茂承,开工;汉冶萍公司;煤矿;物价;矿务;章程;股票;薪俸;财务,盛宣怀致解茂承函,1900-1904
張美翊,刊印;南洋公学;图书;文明书局,盛宣怀致張美翊函,1900-1904
李维;盛春颐,信函;工程师;机器;格尼定;礼和洋行;葛乐士;采办,盛宣怀致盛春颐、李维格,1900-1904
盛春颐,修建;大冶铁矿;斐礼;机器;船只;解茂承,盛宣怀致盛春颐函,1900-1904
小田切万寿之助,汉阳铁厂;物价;税务;财务;赖倫;铁,盛宣怀致小田切万寿之助函,1900-1904
小田切万寿之助,三井洋行;冶炼;成本;日本制铁所;汉冶萍公司;西泽公雄;赖倫;铁;销售,盛宣怀致小田切万寿之助函,1900-1904
張赞宸,三井洋行;借贷;合同;枕木;桥梁;汉阳铁厂;管理;船只;财务;醴洙铁路;钢轨;银公司;集成纱厂,盛宣怀致張赞宸函,1900-1904
張赞宸,制造;图纸;工费;汉阳铁厂;物料;财务;集成纱厂,盛宣怀致張赞宸函,1900-1904
张赞宸,图纸;桥梁;汉阳铁厂,盛宣怀致张赞宸函,1900-1904
张赞宸,信函;徐芷生;德国;李维格;横滨正金银行,盛宣怀致张赞宸函,1900-1904
張赞宸,制造;安源煤矿;枕木;汉阳铁厂;财务;醴洙铁路;钢轨;颜德庆,盛宣怀致張赞宸函,1900-1904
張赞宸,上海;卜聶;卢汉铁路;工程;正太铁路;汉阳铁厂;章程;船只;运输;醴洙铁路;钢轨;马克斯,盛宣怀致張赞宸函,1900-1904
張赞宸,卢汉铁路;汉阳铁厂;物价;物料;财务;郭克利厂,盛宣怀致張赞宸函,1900-1904
張赞宸,制造;开工;汉阳铁厂;沪宁铁路,盛宣怀致張赞宸函,1900-1904
张赞宸,三井洋行;合同;小田切万寿之助;电报;赖倫;铁,盛宣怀致张赞宸函,1900-1904
张赞宸,塞门士;汉阳铁厂;电报;船只;运输;采办,盛宣怀致张赞宸函,1900-1904
張赞宸,合同;小田切万寿之助;日本;日本制铁所;汉阳铁厂;赖倫;销售,盛宣怀致張赞宸函,1900-1904
張赞宸,会见;冶炼;制造厂;地图;張之洞;張端;李维格;枪炮厂;正太铁路;汉阳铁厂;粤汉铁路;芜湖县;赖倫;钢;钢轨;铁;销售,盛宣怀致張赞宸函,1900-1904
張赞宸,军械;冶炼;出口;制造;商务;日本;汉阳铁厂;采办;铁;领事,盛宣怀致張赞宸函,1900-1904
张赞宸,出口;合同;小田切万寿之助;枕木;汉阳铁厂;江海关;火車;煤;税务;萍乡煤矿;财务;赖倫;铁;销售,盛宣怀致张赞宸函,1900-1904
张赞宸,中国铁路总公司;人事;汉冶萍公司;物价;财务;钢轨,盛宣怀致张赞宸函,1900-1904
李鸿章,京师;军饷经费;教案;海关;英国;衢州府;霍必澜,盛宣怀致李鸿章函,1900-1904
李鸿章,义和团;恽祖翼;教案;英国;衢州府;霍必澜,盛宣怀致李鸿章函,1900-1904
荣禄,严作霖;义和团;刘坤一;康有为;德国;新加坡;梁启超;法国;赔补;赫德,盛宣怀致荣禄函,1900-1904
伍廷芳,借贷;刘坤一;合同;土地;外邦关系;广东;湖北;煤;美国;萍乡煤矿;赔补;采办;铁路,盛宣怀致伍廷芳函,1900-1904
伍廷芳,公务;外务部;外邦关系;张之洞;美国,盛宣怀致伍廷芳函,1900-1904
丁家立,义和团;塘沽轮船招商局;天津府;学堂;赈济;领事,盛宣怀致丁家立函,1900-1904
李鸿章,俄国;回銮;广济;赔补,盛宣怀致李鸿章函,1900-1904
荣禄,义和团;俄国;军事;刘坤一;外邦关系;德国;李鸿章;法国;赫德,盛宣怀致荣禄函,1900-1904
王文韶,义和团;保定府;军事;外邦关系;奕劻;聂士成;荣禄;赫德;轮船,盛宣怀致王文韶函,1900-1904
荣禄,严作霖;义和团;保定府;军事;刘坤一;外邦关系;李鸿章;直隶;赔补;赫德,盛宣怀致荣禄函,1900-1904
？,电灯;经费,盛宣怀致？函,1900-1904
张小传,京师;天津府;教案,盛宣怀致张小传函,1900-1904
岑春煊,俄国;旅顺;日本;电码,盛宣怀致岑春煊函,1900-1904
岑春煊;张人骏,俄国;军事;广西;日本;法国;英国;西藏;越南;龙州,盛宣怀致岑春煊、张人骏函,1900-1904
胡惟德,俄国;华盛顿;柏林;毕利铁路,盛宣怀致胡惟德函,1900-1904
张德彝,日本;英国;西藏;财务,盛宣怀致张德彝函,1900-1904
杨枢,俄国;吴振麟;旅顺;日本;铁路,盛宣怀致杨枢函,1900-1904
岑春煊,中外关系;俄国;日本,盛宣怀复岑春煊函,1900-1904
王文韶,东北;中外关系;日俄战争;漠河金矿;电报局,盛宣怀致王文韶函,1900-1904
薛福德,比利时;礼仪;请假;领事,盛宣怀复薛福德函,1900-1904
薛福德,会见;公使;比利时;社交;（M.Joostens）姚士登（比）,盛宣怀复薛福德函,1900-1904
许乙诗,中外关系;奥匈帝国;寿诞;社交;节庆;领事,盛宣怀复许乙诗函,1900-1904
巨籁达,华盛纺织厂;法国;物料;盛宙怀;采办;（A.W.Danforth）丹福,盛宣怀复巨籁达函,1900-1904
裴式楷,威厚澜;对外关系;小田切万寿之助（日）;日本,盛宣怀致裴式楷函,1900-1904
芳泽谦吉,外交官员;日本;礼仪;行程,盛宣怀复芳泽谦吉函,1900-1904
小田切万寿之助,三井洋行;卢汉铁路;文牍处理;日本;木材;电报;腰田兼松（日）;采办,盛宣怀致小田切万寿之助函,1900-1904
霍必兰,会见;沪宁铁路;英国;领事,盛宣怀复霍必兰函,1900-1904
添田寿,日本;日本兴业银行;社交;银行,盛宣怀复添田寿一函,1900-1904
裴式楷,中外关系;外务部;条约;葡萄牙,盛宣怀致裴式楷函,1900-1904
博爱业,外交官员;德国;社交;行程,盛宣怀复博爱业函,1900-1904
小田切万寿之助,日本;税务;铁,盛宣怀致小田切万寿之助函,1900-1904
白朗穀,伯多禄;修建;合同;广州府;澳门;葡华公司;葡萄牙;铁路,盛宣怀复白朗穀函,1900-1904
精琦,社交;行程;货币制度,盛宣怀复精琦函,1900-1904
白朗穀,对外关系;江宁府;社交;葡萄牙;行程;领事,盛宣怀致白朗穀函,1900-1904
小田切万寿之助,守屋此助（日）;日本;社交,盛宣怀复小田切万寿之助函,1900-1904
薛福德,比利时;社交;（Mauticr Joostens）姚士登（比）,盛宣怀复薛福德函,1900-1904
裴式楷,奖赏;社交;英国,盛宣怀复裴式楷函,1900-1904
古纳,社交;美国;考察;货币制度;领事;（Jeremiah Whipple Jenks）精琦（美）,盛宣怀复古纳函,1900-1904
根津一,东亚同文书院;日本;社交;行程,盛宣怀复根津一函,1900-1904
根津一,东亚同文书院;学堂;日本;杭州府;社交;行程,盛宣怀复根津一函,1900-1904
李佳白,基督教;尚贤堂;杭州府;行程,盛宣怀复李佳白函,1900-1904
古纳,疾病;社交;美国;领事,盛宣怀复古纳函,1900-1904
古纳,疾病;社交,盛宣怀复古纳函,1900-1904
古纳,疾病;社交,盛宣怀复古纳函,1900-1904
小室三吉,井上（日）;日本;疾病;社交,盛宣怀复小室三吉函,1900-1904
小田切万寿之助,外交官员;外籍工师;小川资源（日）;日本;湖南轮船公司;社交;铁路,盛宣怀复小田切万寿之助函,1900-1904
吴金鏊,死亡;王贵;盛宙怀;财务,盛宣怀致吴金鏊函,1900-1904
李■庭,华盛纺织总厂;盛宙怀;纺织;薪俸,盛宣怀致李■庭函,1900-1904
